Price,Area,Bedrooms,Bathrooms,City,Age
250000,120,2,1,Tehran,10
450000,220,4,3,Tehran,3
180000,90,2,1,Isfahan,15
320000,160,3,2,Shiraz,8
550000,280,5,3,Tehran,2
210000,100,2,1,Tabriz,12
390000,190,3,2,Mashhad,5
275000,130,2,2,Shiraz,7
600000,310,5,4,Tehran,1
170000,85,1,1,Isfahan,20
420000,210,4,3,Mashhad,4
300000,150,3,2,Tabriz,9
510000,260,4,3,Tehran,3
240000,110,2,1,Shiraz,11
350000,180,3,2,Mashhad,6
195000,95,2,1,Isfahan,14
470000,240,4,3,Tehran,2
280000,140,3,2,Tabriz,10
630000,330,6,4,Tehran,1
230000,105,2,1,Mashhad,13
340000,170,3,2,Shiraz,6
520000,270,5,3,Tehran,2
260000,125,2,2,Tabriz,8
400000,200,4,2,Mashhad,5
185000,88,1,1,Isfahan,18
700000,360,6,5,Tehran,1
310000,155,3,2,Shiraz,7
225000,108,2,1,Tabriz,11
480000,245,4,3,Tehran,2
370000,185,3,2,Mashhad,4

